"UID","Schema","Term1","Relatie","Term2","Sortering"
"1","Harmonisator","Persoon","... heeft kenmerk ...","Achternaam","20"
"2","Harmonisator","Persoon","... heeft kenmerk ...","Voornaam","22"
"3","Harmonisator","Persoon","... heeft verwantschap met ...","Mens","50"
"4","Harmonisator","Persoon","... is een type (specialisatie) ...","Entiteit","10"
"5","Harmonisator","Persoon","... heeft kenmerk ...","Geboortedatum","40"
"6","Harmonisator","Organisatie","... is een type (specialisatie) ...","Entiteit","10"
"7","Harmonisator","Organisatie","... heeft kenmerk ...","Naam","20"
"8","Harmonisator","Organisatie","... heeft kenmerk ...","Logo","22"
"9","Harmonisator","Term","... is een type (specialisatie) ...","Entiteit","10"
"10","Harmonisator","Term","... heeft kenmerk ...","Schema UID","21"
"11","Harmonisator","Term","... heeft kenmerk ...","Naam van term","22"
"12","Harmonisator","Term","... heeft kenmerk ...","Label","24"
"13","Harmonisator","Term","... heeft kenmerk ...","Definitie","26"
"14","Harmonisator","Term","... heeft kenmerk ...","Omschrijving","28"
"15","Harmonisator","Term","... heeft kenmerk ...","Toelichting","30"
"16","Harmonisator","Term","... heeft kenmerk ...","Voorbeeld","32"
"17","Harmonisator","Term","... heeft kenmerk ...","Bron","34"
"18","Harmonisator","Term","... heeft kenmerk ...","Bron LD","36"
"19","Harmonisator","Term","... heeft kenmerk ...","UID","20"
"20","Harmonisator","Term","... is een type (specialisatie) ...","Entiteit","10"
